100.047 100.454
100.8155	100.9682	100.8976
101.0054	101.227	101.1093
100.9097	101.026	100.9764
100.9	101.1874	101.032
100.5968	101.0478	100.8281
100.9917	101.1341	101.0572
100.9733	101.0796	101.0322
100.8666	101.0712	100.975
100.9679	101.22	101.1018
101.128	101.3697	101.2049		
100.5908	100.9135	100.7459
100.8608	101.0118	100.9283
100.828	101.0613	100.9515
100.9028	101.0899	100.9822
100.5777	100.9431	100.7669
100.6591	100.9717	100.8291
100.9308	101.1604	101.0565
100.5434	100.91	100.7238
100.8527	101.1016	100.9841
100.9859	101.2185	101.0999
101.0042	101.1583	101.0644
100.8308	101.1911	101.0322
101.0687	101.161	101.1141
101.047	101.2306	101.1294
100.9849	101.0792	101.019
100.7345	100.9445	100.8306
101.1006	101.2232	101.1472
100.8842	101.1387	101.0137
100.7954	100.9435	100.8726
